廉颇,勇士之魂,爆裂冲撞,熔岩重击,天崩地裂,被动：廉颇释放技能过程中会处于霸体状态。进入战斗后廉颇的战意会逐渐提升，战意越高减伤越多，最多获得20%所受到的伤害。当战意充盈时，廉颇提升自身30%攻击速度。脱战后战意逐渐降低。,廉颇向指定方向发起冲锋，对敌人造成150/170/190/210/230/250（+65%物理攻击）点物理伤害并将其击飞0.5秒。 被动：第三次普攻为直拳重击，对敌人造成额外200/260/320/380/440/500（+15%物理加成）点物理伤害。,廉颇迸发狂暴力量并通过臂甲传入地面，获得350点护盾，1秒后地面会崩裂，对区域内的敌人造成100/125/150/175/200/225（+100%物理加成）（+4%最大生命加成）物理伤害，距离中心越近伤害越高，最高提升100%。技能范围内有敌人时会重置爆裂冲撞的冷却时间，并减少范围内敌人30%移动速度，非英雄单位会被拉向范围中心。技能释放期间可以使用其他技能。,廉颇跳向指定区域连续锤击地面三次，第一次：造成60/90/120（+60%物理加成）（+3%最大生命）点物理伤害和30%减速。第二次：造成90（+90%物理加成）（+4%最大生命）点物理伤害和50%减速。第三次：造成120（+150%物理加成）（+6%最大生命）点物理伤害和1秒击飞。
猪八戒,毫发无伤,肉弹蹦床,倒打一耙,圈养时刻,被动：猪八戒损失的生命会以残血形态暂存，暂存期间猪八戒对英雄\非英雄造成伤害40%\20%的等值残血会转化为真实血量。残血产生7秒后开始以每秒3%最大生命值的速度自动消减。普攻附带40（+0.5%最大生命加成）点物理伤害。,猪八戒奋力跳起，落地时对砸到的敌人造成105/130/155/180/205/230（+8%最大生命加成）点物理伤害。之后弹性极佳的身体会再次高高弹起，并在落地时造成相同伤害，以及0.5秒晕眩效果。当同时攻击多个敌方英雄时，每增加一位敌人将衰减20%的伤害，最低衰减至初始伤害的60%。再次落地时由于惯性极大，猪八戒会快速翻滚一段距离。跳跃期间猪八戒处于霸体状态，对非英雄单位额外造成伤害(小兵30%/野怪50%) 。,猪八戒将钉耙变长直击前方敌人，造成150/180/210/240/270/300（+50%物理加成）点物理伤害和1.5秒60%减速效果。钉耙若嵌入墙体，猪八戒会借力冲撞至嵌入处，并将路径上敌人击退至该处。猪八戒撞击墙体时，造成150/165/180/195/210/225（+6%最大生命加成）点物理伤害和0.5秒晕眩。被动：使用倒打一耙后，3秒内的下次普攻会用钉耙把敌人拉回来。,猪八戒筑起一堵高墙，英雄无法移动穿越；墙最多存在4秒。筑起瞬间对身前敌人造成250/325/400（+90%物理加成）点物理伤害。施法时猪八戒霸体。
盘古,盘古斧,狂怒突袭,压制之握,开天辟地,盘古每次使用盘古斧攻击敌方英雄会积攒1格能量，满4格后斧头碎裂，化成能量臂进行攻击，并刷 新1技能50%最大冷却时间。 盘古斧:普攻使敌人流血，每0.5秒造成目标1%~1.7%最大生命的物理伤害，持续2秒。 能量臂:普攻获得更大的攻击范围，额外造成目标4%~6.8%最大生命的物理伤害。,盘古跃向指定位置，落地时造成200/240/280/320/360/400(+100%物理攻击)物理伤害并强化下一次普攻，释放强化普攻 后会冲向目标，击退路径上敌人并造成100/120/140/160/180/200(+50%物理攻击)物理伤害，同时增加10%攻速，持续3 秒。能量臂状态下只能朝指定方向冲锋，获得相同的攻速效果，冷却时间减半。,盘古召唤正义之手对指定敌人进行攻击，标记被命中的敌人并造成200/240/280/320/360/400(+50%物理攻击)物理伤害和 30%减速，持续2秒，盘古普攻命中标记目标会回复6%最大生命。[压制之握 ]会缴械敌人， 使其无法普攻，持续2秒。,盘古跃到空中，使用盘古斧劈出5道裂隙，每道造成200/400/600(+90%物理攻击)物理伤害，并造成缴械和 90%减速，持续2秒，减速效果持续衰减。裂隙重复命中相同单位时只造成25%伤害。 释放技能后，盘古立即进入能量臂状态。技能释放过程获得霸体效果。 1技能跃起期间使用3技能可以立即劈出裂隙。
瑶,山鬼·白鹿,若有人兮,风飒木萧,独立兮山之上,被动：瑶被鹿灵守护着，当被晕眩，击退，击飞等硬控技能击中会立刻解除控制并变成鹿灵，持续4秒（除压制效果以外）每60秒最多触发一次；鹿灵状态将会刷新技能冷却，并且获得无法被攻击但也失去自己攻击别人的能力，灵鹿静怡的灵光会持续照拂敌人减速30%,举杖引魄击退身边的敌人，能量波向前飞行造成250/290/330/370/410/450（+30%法术加成）点法术伤害，在快飞到终点前会检测范围内的英雄并化成第二段能量球跟踪打击造成250/290/330/370/410/450（+30%法术加成）点法术伤害和0.5秒晕眩和5秒显形效果；附身状态：提升20%检测范围；鹿灵状态：提前结束鹿灵状态进入战斗，使用后重置所有技能冷却时间,瑶持续5秒自动打击身边随机的敌人，最多3个目标，每次攻击都会造成200/240/280/320/360/400（+30%法术加成）点法术伤害，技能开启期间内无法普攻；附身状态：提升20%打击距离；鹿灵状态：白鹿·动 跳跃一段距离,瑶附身到其他英雄，赋予附灵目标750/1125/1500（+50%法术加成）（+285）（最大生命值10%）点真实护盾，真实护盾可抵免所有类型的伤害；附身状态会使得技能增强并且立即减少30%的冷却时间。附身状态：盾破会被击落下来进入冷却，主动脱离附灵目标会返还50%冷却时间；鹿灵状态：白鹿。静扩大减速范围
云中君,云间游,天隙鸣,若英·华彩,风雷引,被动：调息后可飞行，增加50点移速，普攻变为爪击，发起攻击会冲向目标，每0.25秒额外造成(4%物理攻击)物理伤害，持续5秒。普攻可叠加印记和伤害，印记叠满5层后目标被撕裂，5秒内目标每移动100码，受到40物理伤害，每升1级增加3点。 每次撕裂目标或使用一技能可以对野怪和小兵造成50%的已损生命伤害，上限300点。  战斗状态每0.5秒消耗10点气息，脱战每0.5秒回复25点气息，普攻回复25点息，气息 为0时落到地面，此时普攻射程增加并可以穿透目标。,云中君振翅加速，向当前方向俯冲，撕裂目标后向后滑行，并对目标造成短暂的晕眩与物理伤害，俯冲能够威慑命中的目标，如果无法离开云中君一定范围，则会降低对云中君的伤害,云中君展翅舞蹈，引导气流弹开控制效果，并射出羽箭对范围内目标造成伤害，期间成功弹开控制则会回复气息,冲天而上解除所有负面效果进入不可选中状态并回复50(+25/Lv)点气息，短暂延迟后向下俯冲击飞中心位置的目标0.5秒，叠加一层爪击印记并造成250(+75%物理攻击)物理伤害，而后引发羽箭阵雨，每0 .5秒造成50(+15%物理攻击)物理伤害，持续2秒。
曜,星辰之赐,裂空斩,逐星,归尘,技能命中敌方单位将回复自身2%最大生命，当星辰之力涌现时，曜能在接下来的3秒内获得一次强化技能，强化技能释放后强化下次普攻，并额外造成70（+20%物理加成）点物理伤害。,曜快速旋转剑刃，对周围的敌人造成175/225/275/325/375/425（+100%物理加成）点物理伤害。,曜向左侧快速移动，对路径上的敌人造成100/120/140/160/180/200（+50%物理加成）点物理伤害与50%减速持续1-2秒。,曜释放力量，回到2秒前的位置（无法移动超过600距离），清除星削，并对路径与终点的敌人造成250/375/500（+100%物理加成）点法术伤害。被动：曜所受伤害的40%将会转化为星削在2秒内结算。
马超,魔影突袭,萧索之刃,日落孤枪,万刃归鞘,马超每次释放技能都会增加自身2%移动速度，可叠加至多3次，持续5秒。马超每次拾取到自己的冷晖枪时在2秒内逐渐增加20~55点移动速度（随英雄等级成长），并强化下一次普攻，每1点额外移速增加1~2点基础伤害（随英雄等级成长）。命中敌人时将会恢复自身3%最大生命值加30点生命值并减少所有技能冷却1秒。释放万刃归鞘接住冷晖枪时伤害、生命回复和攻击距离都将再增加20%。,马超朝指定方向投掷一把冷晖枪，对触碰的敌人造成200/240/280/320/360/400（+60%物理加成）点物理伤害并插入到敌人身后的位置。如果这次攻击直接击败目标，将会继续飞行一段固定距离，并对后续目标造成额外50%伤害。冷晖枪在地面至多持续10秒。当马超接近该冷晖枪的时候，将会拾取冷晖枪。,马超召唤一把冷晖枪攻击指定的位置，对附近小范围的敌人造成150/180/210/240/270/300（+50%物理加成）点物理伤害和30%的减速效果，持续2秒。冷晖枪落地以后至多可存在10秒。当马超接近该冷晖枪的时候，将会拾取冷晖枪。,马超召唤冷晖枪飞回到自己身边，每次释放召唤一把距离马超最近的冷晖枪，冷晖枪在飞行的过程中，会对路径上的敌人造成200/300/400（+50%物理加成）点物理伤害（根据当前移速计算额外伤害，每1点额外移速增加1.5~2.5点基础伤害）和附带目标已损5%生命值的额外伤害。整个召唤的过程持续10秒（至多可召唤4次）。
西施,少女的把戏,纱缚之印,幻纱之灵,心无旁骛,西施的技能伤害会随着自身与敌人间的距离增加而增加，距离每增加100，伤害增加5%，最多提升40%。,西施将法器扔向指定位置，对区域内的敌人造成120/144/168/192/216/240（+18%法术加成）点法术伤害并朝法器的位置拉扯一段距离，同时纱会缠绕在一名敌人英雄身上，之后5秒内西施再次点击1技能，纱会牵引敌人朝一个方向移动一段距离。如果敌人距离西施过远，则不会受到影响。一技能可以对非英雄单位造成双倍伤害。,西施扔出一颗能量球，遇到野怪停下，其存在期间每0.5秒会朝四周发射一次能量攻击附近的敌人，造成150/180/210/240/270/300（+50%法术加成）点法术伤害，首次命中减少敌人30%的移动速度，持续1.5秒，若多次命中同个目标则伤害衰减为25%。2秒后能量球会爆炸造成150/180/210/240/270/300（+27%法术加成）点法术伤害，内圈的敌人受到双倍的伤害。,"西施将法器的力量灌注到自己体内,获得持续8秒的强化状态并刷新幻纱之灵的冷却时间。强化期间纱缚之印命中后可以连续控制敌人移动两次；同时幻纱之灵的冷却时间减半。大招开启时西施获得持续0.5秒50%的加速效果。"
鲁班大师,稷下科技,助推跳跃,助手驰援,强力收纳,被动：鲁班大师的技能在施法或命中目标时会为自己提供1层吸收50（+5*英雄等级）（+0.15Ap）（+2%*最大生命）的伤害的护盾，护盾持续5秒，可叠加4层。每经过5秒，鲁班大师的机械臂完成充能强化下一次普攻附带400（+40%法术加成）点法术伤害。,鲁班大师借助机械臂喷气动力向前跳跃，并在落地时展开力场击飞周围敌人0.5秒并造成350(+40%法术攻击)法术伤害。,鲁班大师为一名队友和自己赋予护盾，并在他和自己之间创造链接，持续6秒，队友确认交互后会立即位移到鲁班大师的位置，并对路径上敌人造成450(+45%法术攻击)法术伤害。开始施法时鲁班大师提升 50%移速持续1.5秒。如果链接期间队友没有交互，则返还30%的冷却时间。,鲁班大师向前方扇形区域发射机械臂，井连接区域内最多6个敌人，优先英雄单位。被连接的敌人会受到250(+25%法术攻击)法术伤害。 若被连接的敌人与鲁班大师拉开足够的距离，则连接会被扯断。否则，敌人会在1.25秒后被拉到鲁班大师身边，每个扯回的单位都会在鲁班大师身边引发一次小范围600(+60%法术攻击)法术伤害，从第二个敌人开始只造成25%的伤害。
蒙犽,炽热浑天,狂轰火线,爆裂重炮,飞弹援袭,"蒙犽精通机关武器，每提升5%的攻击速度，增加自身1%的冷却缩减。普通攻击命中敌人时，增加自身5点炽怒值（暴击时增加10点）。当炽怒值达到最大时，蒙犽会进入兴奋状态。若无法持续获得炽怒值，炽怒值将持续衰减。 当处于兴奋状态：强化自身所有技能，并使狂轰火线和爆裂重炮冷却加快50%,每溢出1点炽怒值回复自身0~3（随英雄等级成长）（+1%物理加成）点生命",开启后，接下来5秒蒙犽会使用“浑天”持续扫射目标（需要持续按压，伤害可暴击），每颗子弹造成6/20/34/48/62/76（+34%物理加成）点物理伤害，扫射的时候可以释放其它技能以及移动，但是自身移动速度会降低50点。施法完毕后进入冷却状态。每次命中敌人增加5点炽怒值，暴击时增加10点。 强化：当能量达到最大时，子弹将具备贯穿效果，会对后续敌人造成50%的伤害,蒙犽朝指定方向发射一枚重炮，对触碰的敌人造成150/165/180/195/210/225（+25%物理加成）点物理伤害并减速50%持续2秒；重炮触碰敌人或者墙体以及飞行到最远距离时将会发生爆炸，并分裂出5颗流星弹，流星弹可以在墙体之间弹射，并对命中的第一个敌人造成300/330/360/390/420/450（+50%物理加成）点物理伤害。重炮和飞星霰弹每次命中敌人都会增加自身5点炽怒值，单个目标在1秒内被多颗流星弹命中时伤害衰减到25%。 强化：当能量处于最大状态时，分裂的流星弹数量5→9。,蒙犽开始搜索周围的环境（按压释放，不断扩大搜索范围，最多搜索3秒，搜索过程中蒙犽增加50%移动速度），搜索范围内的敌人受到来自友军英雄的伤害时，会标记目标位置（整个搜索过程至多标记5个位置），搜索结束后将会朝标记位置发射导弹，导弹落地时将会对命中敌人造成350/425/500（+100%物理加成）点物理伤害(同一目标后续命中衰减75%)并增加自身10点炽怒值，蒙犽搜索完成后还会持续引导8秒，每秒至多引导1枚导弹（取消时会减少50%冷却时间）。 强化：后续导弹的引导的最小间隔时间1秒→0.5秒
镜,铸镜,开锋,裂空,见影,被动：本体和镜像对敌人造成伤害时会给敌人留下2种不同的印记，如果敌人同时拥有2种印记会触发碎裂受到已损生命值百分比的斩杀伤害同时刷新镜开锋和裂空的冷却时间。 镜像造成本体30%的伤害和回复，对防御塔只造成10%的伤害，镜像和本体的距离越远，造成的伤害和回复越多，最多可以增长至本体的80%，此效果触发后，镜将暂时失去此被动效果一段时间，大招期间失去效果的时间将减少,镜片包裹身体快速朝前突进并对路径上的敌人造成40/105/170/235/300/365（+70%物理加成）点物理伤害和30%的减速，同时强化下次普攻攻击，额外造成两次（+10%物理加成）点物理伤害。 被动：当场上没有镜像存在时，会产生镜像一起朝前冲出，镜像存在2秒会复制本体除了大招外的所有行为。,镜对周围的敌人造成40/95/150/205/260/315（+60%物理加成）点物理伤害并获得1秒50%的衰减加速，每命中一个目标回复60/76/92/108/124/140（+24%物理加成）点生命值，从第二个目标开始回复量衰减至25%。 被动：当场上没有镜像存在时，会产生镜像一起攻击，镜像存在2秒会复制本体除了大招外的所有行为。,身化为镜朝前飞出并对路径上的敌人定身1秒，到达最远距离后张开镜像空间，本体和镜像会从镜面两侧飞出，镜像空间存在10秒。提前离开镜像空间会使之销毁。期间再次使用后本体与镜像冲向彼此的位置，交换后会有1.5秒的禁用时间，如果对敌人造成伤会立刻重新解锁。 镜像场成形后，在场的边缘会生成8个镜子碎片，期间本体或镜像对敌人造成伤害时，最近的碎片会飞向敌人并造成百分比已损生命值的斩杀伤害。
蒙恬,玄雍防线,方阵突刺,以守为攻,玄雍众将,被动：技能命中敌方或在防御姿态期间所受到的伤害会成为兵势，兵势最大值为1000~4500。蓄力猛击会附加兵势20%物理伤害，兵势盛极后的蓄力猛击还可额外造成20%伤害和(8%已损生命)的回复。 防御姿态:普攻消耗所有兵势强化为蓄力猛击，造成40(+ 100%物理攻击)物理伤害，蓄力可积蓄兵势，蓄力期间可减少10%来自正面的伤害、免疫控制并获得额外100%的兵势。如果蒙恬在此期间受到伤害则会对前方目标造成90%减速效果，持续0.5秒。,蒙恬朝指定方向突刺冲锋，对路径上的敌人造成200/240/280/320/360/400（+70%物理加成）点物理伤害，在冲锋结束时会进行盾击击飞前方目标并增加大量兵势。冲锋期间可以使用以守为攻打断冲锋过程。 防御姿态：不再冲锋，不能击退敌方，但技能冷却时间获得大幅缩减，并且可以改变防御的朝向。命中敌人后减少二技能 2(+0.4/Lv)秒冷却时间。,蒙恬举盾踏步进入防御姿态，击退周围的敌人并造成100/120/140/160/180/200（+35%物理加成）点物理伤害。再次释放可解除防御姿态并增加50%移动速度持续1秒。 防御姿态：减少20%来自正面的伤害。,蒙恬召唤4名玄雍士兵跟随自身作战，持续20秒，士兵从四个方向一起冲向蒙恬，对路径上的敌人造成125（+100%物理攻击）物理伤害和1秒减速（根据蒙恬的兵势值百分比实时决定，最高90%）并增加大量兵势。士兵誓死追随蒙恬将军，和蒙恬一起进行攻击和释放技能。玄雍士兵拥有自己的属性（受蒙恬各项属性加成）。再次释放该技能，蒙恬会指挥士兵进行阵型切换。切换方圆阵时蒙恬军可以额外减少20%来自正面的伤害。 防御姿态：玄雍士兵会和蒙恬一同进入防御姿态。
阿古朵,山林奇缘,野蛮生长,翻滚吧球球,峡谷总动员,被动：阿古朵的惩击替换为放生，通过制造树洞放生野怪。当野怪成功逃离战场，会赠与她金币和经验，同时获得野怪助战效果。阿古朵每次普攻英雄或建筑时，她的动物伙伴会一同攻击该目标。动物伙伴对防御塔制造成默认伤害的50%。阿古朵使用弹弓普攻只造成(75%物理攻击)物理伤害。,阿古朵播种一片灌木，区域内友军（除兵线外）提高30%移动速度并每0.5秒回复30点生命。阿古朵和她的召唤物获得2倍治疗量，并在区域内提升30%攻击速度。敌人在区域受到10%减速，持续处于其中3秒后会被定身1秒； <\br>被动：收服蜥蜴的数量超过2/4/6时，会召唤小/中/大蜥蜴前来助战。,球球抱住阿古朵翻滚蓄力，每0.25秒对周围造成40(+1.5秒最大生命)物理伤害。蓄力完成后冲锋而出，对触碰的敌人造成120(+4.5%最大生命)物理伤害，多次命中同个目标时，冲锋伤害衰减至75%，冲锋距离随蓄力时间而增加，整个施法期间可免疫1次硬控效果，取消施法执行70%冷却时间； <\br>被动：放生红隼的数量超过2/4/6时，会在冲锋首次命中敌人处或终点处召唤小/中/大红隼前来助战。,球球离开阿古朵，冲锋到指定地点造成450(+70%物理攻击)物理伤害和击飞效果，并在之后独自作战。施法后会刷新爆弹雷种的冷却时间，并将球球的血量至少回复至10%，同时为阿古朵回复25%最大生命。施法会清除自身所受控制效果，再次施法可召回球球。 <\br>被动：放生熊、猎豹的数量超过2/4/6时，会召唤小/中/大熊、猎豹前来助战。放生猩红石像、蔚蓝石像的数量超过2/3/4时，球球的攻击效果获得不同程度强化。 被动：球球提升自己10%的移动速度、30%攻击速度并获得一个1000点生命的护盾。
夏洛特,七星光芒剑,迅光三角剑,前进喷泉,破空光剑,夏洛特任意技能命中敌人后，会将下次释放的其他技能强化为追加技，并获得一层印记，持续4秒。叠满3层印记后普攻将强化为追加技【七星光芒剑】，追击锁定敌人打出7段伤害，每段造成50(+25%物理攻击)物理伤害和20%减速，最后一段额外造成12%已损生命的物理伤害，释放期间获得21%~35%免伤（随等级成长）。追加技对敌人附带伤残效果，每层减少10%攻速，持续4秒，最多叠加2层，伤残效果随敌方每次普攻移除一层。,起手技：短暂延迟后，夏洛特向指定方向释放迅光三角剑，对路径上的敌人造成物理伤害，对路径上的敌人造成200(+100%物理攻击)物理伤害，命中后增加80%持续衰减的移速，持续2秒。,起手技：夏洛特向指定方向冲刺，同时快速刺击六次，每段造成40（+15%物理攻击）物理伤害，并回复27（+12%物理攻击）点生命。,起手技:原地画出七道剑痕，每道剑痕造成150( +70%）物理攻击)物理伤害和50%减速，持续1秒，从第二道剑痕开始将只造成30%伤害，技能释放期间处于霸体状态，并获得21%~35%免伤（随等级成长）
澜,狩猎,破浪,断空,处决,当敌人的生命值低于30%，会被澜视作“猎物”。澜的技能和普攻对 “猎物”额外造成15%的真实伤害。,澜用魔道力量覆盖全身进入“下潜”状态并增加60点移速，持续3秒，到时间后会跳出水面并返还一半的冷却时间。下潜状态下使用1技能澜会冲出水面完成破浪的一击，造成300(+ 120%额外物理攻击)点物理伤害，并对目标附带50%减速效果，持续1.5秒。 被动:在河道区域没有持续时间的限制:如果1500范围内有“英雄猎物出现”，加速效果会提升450点。,攻击附近的敌人割开他们的伤口连续2次造成225(+40%额外物理攻击)点物理伤害，每命中一名敌人一次澜可以获得一个印记，最多获得3层印记，使用普攻会追击敌人并清除自身一层印记，造成35(+70%物理攻击)点物理伤害，同时自身回复80(+ 28%额外物理攻击)点生命值，该效果对小兵和野怪仅生效40%，每触发一次追击减少2技能1秒冷却时间。下潜状态下释放断空会附带一个指定方向的位移，井返还1技能一半的冷却时间。,澜将匕首扔出并眩晕路径上敌人，第一段匕首造成90%减速0.5秒，短暂延迟后将向匕首位置突袭，并将路径上的敌人拖到终点处进行处决，造成550(+170%额外物理攻击)物理伤害。 下潜状态下释放处决不会投掷匕首，直接触发后续效果，并返还1技能一半的冷却时间。
司空震,天雷引,奔雷疾,狂雷击,雷霆万钧,司空震的普通攻击造成法术伤害。近距离会触发近战攻击，攻击间隔降低。普攻获得1点天雷之力，上限6点。满天雷之力时会引动天雷，获得一次额外释放基础技能的机会。释放基础技能后，获得强化普攻，对大范围内敌人造成300(+25%法术攻击)法术伤害。,司空震化身奔雷向前疾行，对路径上敌人造成180(+20%法术攻击)法术伤害并获得210(+10%法术攻击)点护盾，持续2秒。,司空震向前释放出一道狂雷之力，达到最大射程，或触碰到单位短暂延迟后爆炸，造成击退和250(+30%法术攻击)法术伤害。离司空震距离越近的单位被击退得越远。,司空震升入空中，化身为雷霆之王。变身过程持续1.5秒，期间获得霸体，增加30%移动速度，无视地形阻挡，并让五个雷鼓依次随机轰击附近敌人（优先英雄）。每次雷击造成80(+4%法术攻击)法术伤害，并使司空震获得1点天雷之力和180(+10%法术攻击)点护盾，持续1秒。落地时对附近敌人造成360(+35%法术伤害)法术伤害。变身持续10秒，期间普攻改为获得2点天雷之力，远程普攻会产生雷电链，在多个敌人间弹射，造成100(+10%法术攻击)法术伤害。强化普攻的范围增加。
艾琳,精灵舞步,叶舞·致意,旋舞·轻语,月桂之舞·盛放,艾琳普攻命中敌人后造成150(+20%法术攻击)法术伤害，并获得能量，能量满后艾琳消耗能量急速飞行。 能量满后艾琳获得一次强化普攻，对首个命中的目标造成180(+30%法术攻击)法术伤害。 艾琳每100点法术攻击可以转化为1%暴击率。,艾琳射出一束月桂叶，对命中的目标造成法术伤害，并且第一段命中目标增加一层月桂印记，命中敌方英雄或飞行到最远处后展开成环，对触碰的敌人造成法术伤害和50%减速，持续1秒。,艾琳受到黄金森林的祝福，立即回满能量，同时叠加两层月桂印记，获得免疫减速效果并增加30%攻速，持续3秒。,艾琳能量满后会叠加一层月桂印记。当月桂印记达到6层时【月桂之舞·盛放】解锁，印记叠加上限为12/15/18层。 技能开启时，艾琳增加10%移速，不断消耗印记发出月桂飞叶，对范围内血量最少的目标造成80(+22%法术攻击)法术伤害。
云缨,枪意·掠火,断月,追云,逐星,云缨与神兵“掠火”心念相通，每释放一个技能，便会领悟一层枪意，使用普通攻击会消耗所有枪意，释放对应的枪意技 【 坚意·止戈】、 【 锐意·摧城 】 和【 真意·燎原】，并减少【断月】和【追云】1.5秒冷却时间。枪意技不可暴击，受到15%攻速影响。,云缨举枪向前方上挑后下劈，上挑可造成0.5秒击 飞，每段造成100/115/130/145/160/175(+50%物理攻击)物理伤害。,云缨提枪蓄力冲锋，获得最高增加30%/32%/34%/36%/38&/40%移速，结束时向前突进横扫，对敌人造成80/110/140/170/200/230(+ 50%物理攻击)~160/220/280/340/400/460(+ 100%物理攻击)物理伤害和30%减速，持续1秒。 蓄力冲锋时间越长，加速越高，结束突进越远，伤害越高。,云缨引燃“掠火”枪尖，向前方区域来回突击，每段都对敌人造成70/140/210(+ 55%物理攻击)物理伤害和击飞。 在突击至最远处时会连续刺击4次，每次造成35/70/105(+27%物理攻击)物理伤害。技能释放期间处于霸体状态并减少10%/40%/70%受到的伤害。 激活技能二段[啸日]，挥动“掠火”向前横扫并留下火径，持续3秒。横扫造成70(+55%物理攻击)物理伤害，火径每0.2秒造成30(+ 10%物理攻击)法术伤害。
金蝉,锦襕宝衣,紧箍之咒,九环之杖,轮回之印,锦襕宝衣会庇佑金蝉，受到的单次伤害超过最大生命值的5%后减伤40%； 轮回之印解放期间：宝衣的力量会分享给所有在场的友方英雄单位保护他们,扔出紧箍困住首个命中的目标持续3秒并对附近的敌人造成200(+400%法术攻击)点法术伤害，紧箍会以固定速度跟随目标并获取视野，目标无法离开紧箍的范围。,轮回之印解放期间：对目标额外造成50%减速,放出九环之杖上的九枚法器对目标点造成法术伤害并形成一个法阵，法阵每次命中敌人会激活一枚法器并造成伤害，全部激活法器后对小兵和野怪额外造成50%的伤害。法阵会自动追踪携带紧箍的对象。附近的兵线和野怪会受法阵影响朝法阵移动。 ,轮回之印解放期间：法阵的攻击频率大幅提升。,短暂解放轮回之印，3件神器回归原本的力量。 大招持续期间，每次自己的普攻和技能造成伤害会叠加1层印记，最多10层。再次点击大招会消耗所有印记将力量击出，基础伤害为450点法术伤害，每层印记提升8%的伤害
暃,玉息·星眸,逐玉·锋回,踏玉飞檐,凝玉之印,暃在墙上视野更加开阔，并可自如行动，额外获得100点移动速度。 普攻命中恢复5点能量。,暃凝成玉刃掷出，玉刃到达终点后返回，对沿途的目标每段造成250（+40%物理攻击）物理伤害，对野怪造成额外30%伤害。,暃凝息成玉，纵身“踏玉”跃向指定的墙体。在墙上时可多次使用【踏玉飞檐】转移至其他相邻的墙体。每多使用一次【踏玉飞檐】，在落地时冷却时间将提升，最多提升至20秒。暃立于墙上时，【逐玉·锋回】将会被替换为【逐玉·翩旋】。下墙时获得护盾，双方水晶视为可交互的墙体。,暃挥动玉刃向前横扫，造成300（+60%物理攻击）物理伤害，并以灵玉标记所有目标。使用后激活【凝玉之击】，暃将刀收回刀鞘，同时标记碎裂，对每个目标斩击四次，前三段每段造成70/140/210/280/350/420（+25%物理攻击）物理伤害并回复自身25（+10%物理攻击）点生命，第四段造成150（+60%物理攻击）物理伤害，获取目标视野，并回复自身50（+20%物理攻击）生命，暃当前生命越低，回复越高，最多为基础值的2倍。目标生命值下降到最大生命值的12%时，受到最后一段斩击伤害时必定被击败。释放【凝玉之击】期间，敌方英雄目标死亡，则返还【踏玉飞檐】50%的冷却时间和100点能量。
桑启,萤火庇护,桑木为引,乘风启程,萤火微光,桑启的普攻除近战伤害外会额外召唤一只萤火虫。对敌方造成50(+ 10%法术攻击)(+4%额 外生命)法术伤害并显形3秒，若周围没有敌人，则为附近生命值最低的友方英雄回复50(+10%法术攻击)(+ 1%额外生命)的生命。 桑启3秒内未受到伤害将为附近血量最低的友军周期性回复生命，在这个状态下如果周围没有敌人，桑启可使用普攻蓄力为自己回复(为自身回复将打断为队友回复)，阵亡时被动依然能为周边友方英雄提供治疗效果。 桑启周围没有单位且脱战时，蓄力普攻将为自己回复50(+ 8%法术攻击)(+ 2%额外生命)的 生命。,桑启引导萤火之力，短暂延迟后向指定方向上的敌人造成魔法伤害和1秒击飞，释放一半萤火虫为范围内血量最低的队友恢复生命值。被【萤火之力】强化的1技能将迸发更强大的力量，将召唤萤火虫向命中英雄中血量最低的目标进行飞行(包括敌方英雄和友方英雄)，对一个英雄最多飞出5颗萤火虫，当命中的英雄存在敌人和友军时，萤火虫将平分，萤火虫飞出后【萤火之力】消耗相应层数。 【萤火之力】：桑启每隔1.5秒获得一颗萤火虫强化自身，最多叠加9层。,桑启鼓动披风，向选定的草丛进行飞行，在飞行过程中每隔一段距离放置一颗萤火虫，萤火虫1秒后朝周围血量最低的英雄(包括敌方英雄和友方英雄)飞行，并获得2层【萤火之力】。该技能可充能3次。桑启身上连线的草丛，是2技能当前轻触的目标草丛。,桑启在指定位置召唤【光之草丛】，6秒内可以释放第二段，向召唤的草丛进行飞行。 【光之草丛】：光之草丛被召唤出来1秒后，每隔1秒将向周围最多5名英雄发射萤火虫，每颗萤火虫造成50（+10%法术攻击）（+4%额外生命）法术伤害或治疗友方英雄50（+10%法术攻击）（+2%额外生命）点生命。敌方单位进入光之草丛会暴露视野。光之草丛在快消失时不产生萤火虫。光之草丛消失后，将转化为普通草丛留存30秒。
